600303: Battle_of_Ballynahinch
600304: Battle_of_Ballyshannon
600305: Battle_of_Baltimore
600306: Battle_of_Bamianshan
600307: Battle_of_Ban_Dong
600308: Battle_of_Ban_Houei_Sane
600309: Battle_of_Ban_Me_Thuot
600310: Battle_of_Bandera_Pass
600311: Battle_of_Bandiradley
600312: Battle_of_Bands
600313: Battle_of_Bang_Bo
600314: Battle_of_Bang_Bo_(Zhennan_Pass)
600315: Battle_of_Bang_Rachan
600316: Battle_of_Bang_Rajan
600317: Battle_of_Bangkusay
600318: Battle_of_Bangkusay_Channel
600319: Battle_of_Banja_Luka
600320: Battle_of_Bankusay
600321: Battle_of_Bankusay_Channel
600322: Battle_of_Bannockburn
600323: Battle_of_Banquan
600324: Battle_of_Bantam
600325: Battle_of_Bantry_Bay
600326: Battle_of_Baoying
600327: Battle_of_Bapaume
600328: Battle_of_Bapaume_(1871)
600329: Battle_of_Bapheus
600330: Battle_of_Baqubah
600331: Battle_of_Bar-sur-Aube
600332: Battle_of_Barapind
600333: Battle_of_Barbalissos
600334: Battle_of_Barbourville
600335: Battle_of_Barcelona
600336: Battle_of_Bardejov
600337: Battle_of_Bardia
600338: Battle_of_Barentu
600339: Battle_of_Barfleur
600340: Battle_of_Bargal
600341: Battle_of_Barking_Creek
600342: Battle_of_Barletta
600343: Battle_of_Barnet
600344: Battle_of_Barossa
600345: Battle_of_Barra
600346: Battle_of_Barren_Hill
600347: Battle_of_Barrosa
600348: Battle_of_Barry
600349: Battle_of_Basantar
600350: Battle_of_Bash-Abaran
600351: Battle_of_Bash_Abaran
600352: Battle_of_Basia
600353: Battle_of_Basian
600354: Battle_of_Basque_Roads
600355: Battle_of_Basra
600356: Battle_of_Basra_(1914)
600357: Battle_of_Basra_(2003)
600358: Battle_of_Basra_(2008)
600359: Battle_of_Basra_(634)
600360: Battle_of_Bassano
600361: Battle_of_Bassignana
600362: Battle_of_Bassignano
600363: Battle_of_Bassorah
600364: Battle_of_Bastogne
600365: Battle_of_Basya
600366: Battle_of_Bataan
600367: Battle_of_Bataan_(1945)
600368: Battle_of_Bathys_Ryax
600369: Battle_of_Batoche
600370: Battle_of_Batoh
600371: Battle_of_Baton_Rouge
600372: Battle_of_Baton_Rouge_(1779)
600373: Battle_of_Baton_Rouge_(1862)
600374: Battle_of_Battles
600375: Battle_of_Bauge
600376: Battle_of_Baugé
600377: Battle_of_Bautzen
600378: Battle_of_Bautzen_(1945)
600379: Battle_of_Bautzen_(World_War_II)
600380: Battle_of_Baxi
600381: Battle_of_Baxter_Springs
600382: Battle_of_Bay_of_Viipuri
600383: Battle_of_Bay_of_Vyborg
600384: Battle_of_Bayonne
600385: Battle_of_Bayou_Bourbeux
600386: Battle_of_Bayou_Fourche
600387: Battle_of_Bazaleti
600388: Battle_of_Bazeilles
600389: Battle_of_Bazentin
600390: Battle_of_Bazentin_Ridge
600391: Battle_of_Baçente
600392: Battle_of_Beachy_Head
600393: Battle_of_Beachy_Head_(1690)
600394: Battle_of_Bealach_na_Broige
